"Country     ","Total Citations","Average Article Citations"
"USA            ","7104","32.44"
"UNITED KINGDOM ","1379","25.07"
"GERMANY        ","1341","26.82"
"AUSTRALIA      ","1131","51.41"
"ITALY          ","1083","32.82"
"CANADA         "," 909","20.20"
"CHINA          "," 833","12.25"
"NETHERLANDS    "," 829","39.48"
"JAPAN          "," 811","33.79"
"BRAZIL         "," 427","20.33"
"BELGIUM        "," 361","60.17"
"FRANCE         "," 350","19.44"
"SWITZERLAND    "," 278","21.38"
"ISRAEL         "," 261","29.00"
"SPAIN          "," 239","19.92"
"SWEDEN         "," 217","18.08"
"NORWAY         "," 169","24.14"
"AUSTRIA        "," 134","19.14"
"FINLAND        "," 126","31.50"
"MEXICO         "," 126","15.75"
"KOREA          "," 119","14.88"
"TURKEY         ","  67","16.75"
"INDIA          ","  63"," 9.00"
"SLOVENIA       ","  45","22.50"
"DENMARK        ","  44","14.67"
"IRAN           ","  44","14.67"
"LATVIA         ","  40","40.00"
"RUSSIA         ","  39","13.00"
"MALAYSIA       ","  37","18.50"
"PORTUGAL       ","  31","10.33"
"HUNGARY        ","  27"," 9.00"
"POLAND         ","  26"," 4.33"
"SINGAPORE      ","  21","21.00"
"GREECE         ","  18","18.00"
"INDONESIA      ","  17","17.00"
"ICELAND        ","  15","15.00"
"SOUTH AFRICA   ","  15"," 7.50"
"CZECH REPUBLIC ","  12"," 6.00"
"COLOMBIA       ","  11"," 2.75"
"PAKISTAN       ","   7"," 7.00"
"ARGENTINA      ","   6"," 3.00"
"LEBANON        ","   2"," 1.00"
"CHILE          ","   1"," 0.50"
"GEORGIA        ","   1"," 1.00"
"U ARAB EMIRATES","   1"," 1.00"
"LITHUANIA      ","   0"," 0.00"
"TUNISIA        ","   0"," 0.00"
